date,observed_monthly_twsa,model_reconstructed_monthly_twsa,observed_ma12,model_reconstructed_ma12,residual_model_minus_observed,source_segment
2010-06-01,-109.77699601969722,-105.78216651921338,-74.29631208118901,-73.58137116786041,3.9948295004838457,historical reconstruction/context
2010-07-01,-103.86021699607734,-102.57418021253274,-75.83171073432224,-75.11182034040955,1.2860367835446027,historical reconstruction/context
2010-08-01,-73.72688587951367,-73.90571781336182,-77.28209721828638,-76.56190442955783,-0.1788319338481443,historical reconstruction/context
2010-09-01,-22.226814297824767,-26.460784889761108,-75.12806668471278,-74.7961895888907,-4.233970591936341,historical reconstruction/context
2010-10-01,-40.03865829131521,-43.62149012721195,-71.11130353739132,-71.45549558309598,-3.582831835896741,historical reconstruction/context
2010-11-01,-41.17400026849488,-45.17552864535257,-67.90284675549829,-68.58824378336023,-4.001528376857692,historical reconstruction/context
2010-12-01,-55.52802202107286,-52.98431752525815,-67.98888042213589,-68.37219551000355,2.5437044958147084,historical reconstruction/context
2011-01-01,-10.449564133870068,-11.72739061893328,-63.964489874592914,-64.61305475309302,-1.277826485063212,historical reconstruction/context
2011-02-01,-66.7774318099154,-65.44400687543941,-62.19893969125392,-62.63473083919004,1.3334249344759854,historical reconstruction/context
2011-03-01,-53.67329021714513,-54.59889920488626,-58.86201255534196,-59.37925517981787,-0.9256089877411284,historical reconstruction/context
2011-04-01,-51.97832219658006,-55.39664487979293,-57.784711884736254,-58.5017626847467,-3.418322683212871,historical reconstruction/context
2011-05-01,-62.63781671433736,-63.38607798281943,-57.654001570487,-58.42143377454692,-0.748261268482068,historical reconstruction/context
2011-06-01,-14.923615082240005,-16.23795863520384,-49.749553159032224,-50.95941645087945,-1.314343552963834,historical reconstruction/context
2011-07-01,-108.50822647941744,-105.93257504363488,-50.136887282643904,-51.23928268680464,2.575651435782561,historical reconstruction/context
2011-08-01,-56.85091173513076,-53.85712409628394,-48.730556103945325,-49.568566543714816,2.9937876388468183,historical reconstruction/context
2011-09-01,-42.84287924437246,-44.14795733180428,-50.44856151615764,-51.04249758055175,-1.3050780874318164,historical reconstruction/context
2011-10-01,-82.08119019149792,-81.83920642505291,-53.95210584117286,-54.227307272038495,0.241983766445017,historical reconstruction/context
2011-11-01,-31.100079786335414,-30.78893959129112,-53.11261246765957,-53.02842485086671,0.3111401950442953,historical reconstruction/context
2011-12-01,-69.05254317686368,-71.35511744213703,-54.23965589730881,-54.55932484393994,-2.30257426527335,historical reconstruction/context
2012-01-01,-56.99417435959005,-59.39017746473748,-58.11837341611881,-58.53122374775696,-2.396003105147429,historical reconstruction/context
2012-02-01,-69.43947712605453,-67.87549844533241,-58.34021052579706,-58.733848045248045,1.5639786807221157,historical reconstruction/context
2012-03-01,-62.80257111228215,-60.92130538533412,-59.10098393372515,-59.26071522695204,1.8812657269480295,historical reconstruction/context
2012-04-01,-101.65663050413865,-96.4097981071256,-63.24084295935504,-62.67847799589642,5.246832397013051,historical reconstruction/context
2012-05-01,-17.588322857061485,-16.35391499379153,-59.48671847124872,-58.759131080144094,1.2344078632699542,historical reconstruction/context
2012-06-01,-138.16143845034523,-136.9688326137459,-69.75653708525748,-68.82003724502259,1.1926058365993413,historical reconstruction/context
2012-07-01,-84.996272275547,-84.91148111515525,-67.79720756826828,-67.0682794176493,0.0847911603917452,historical reconstruction/context
2012-08-01,21.842507972826645,19.041937245867672,-61.239422592605166,-60.99335763913666,-2.800570726958973,historical reconstruction/context
2012-09-01,-36.34663234796025,-35.62307031852216,-60.698068684570806,-60.28295038802981,0.7235620294380922,historical reconstruction/context
2012-10-01,-14.531709201911127,-11.873197064045732,-55.06894526877191,-54.45244960794588,2.6585121378653955,historical reconstruction/context
2012-11-01,-65.7112873569449,-70.2918427848345,-57.95321256632269,-57.74435820740784,-4.580555427889607,historical reconstruction/context
2012-12-01,-68.70106281236386,-70.60415492798568,-57.92392253594772,-57.68177799789522,-1.903092115621817,historical reconstruction/context
2013-01-01,-41.34092875572044,-50.662154363571645,-56.61948540229191,-56.95444273946473,-9.321225607851204,historical reconstruction/context
2013-02-01,-42.76998741548362,-44.98656596915369,-54.397027926411006,-55.04703169978317,-2.216578553670068,historical reconstruction/context
2013-03-01,-12.242029996353375,-10.398551227281407,-50.18364950008361,-50.83680218661211,1.843478769071968,historical reconstruction/context
2013-04-01,-78.49952453042513,-77.81066559927146,-48.25389066894081,-49.28687447762427,0.6888589311536748,historical reconstruction/context
2013-05-01,-110.06346766233602,-111.68804953420675,-55.96015273604703,-57.23138568932554,-1.6245818718707312,historical reconstruction/context
2013-06-01,-104.36953589872944,-104.07798793530564,-53.14416085674571,-54.49048196612218,0.2915479634237954,historical reconstruction/context
2013-07-01,-30.392260771450964,-31.23770445187036,-48.5938265647377,-50.01766724418178,-0.8454436804193968,historical reconstruction/context
2013-08-01,-14.271138270990052,-11.647720389948772,-51.603297085055765,-52.57513871383315,2.6234178810412807,historical reconstruction/context
