date,scenario,climate_component_mm,component_lower_mm,component_upper_mm,risk_index,assumption,residual_assumption_mm,residual_p05_mm,residual_p25_mm,residual_p75_mm,residual_p95_mm,total_twsa_reconstruction_mm,p05,p25,p50,p75,p95,projection_type,total_twsa_ma12_mm
2076-10-01,ssp585,36.003194698405935,17.56354419979258,59.6791690276819,9.782540553886534,B_trend_capped_persistence_residual,191.8389482555613,-136.51211800000002,-76.16655499999999,191.8389482555613,191.8389482555613,227.8421429539672,-118.94857380020744,-40.16336030159405,227.8421429539672,227.8421429539672,251.5181172832432,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,207.64515294328285
2076-11-01,ssp585,24.19242174913544,5.049615530508183,33.85150075115792,9.783631602896609,B_trend_capped_persistence_residual,192.00869500436343,-136.51211800000002,-76.16655499999999,192.00869500436343,192.00869500436343,216.2011167534989,-131.46250246949182,-51.97413325086455,216.2011167534989,216.2011167534989,225.86019575552135,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,209.91345190895603
2076-12-01,ssp585,11.131663852927248,1.7728859649590638,19.478623455256614,9.794287771458963,B_trend_capped_persistence_residual,192.1729660515914,-136.51211800000002,-76.16655499999999,192.1729660515914,192.1729660515914,203.30462990451863,-134.73923203504094,-65.03489114707274,203.30462990451863,203.30462990451863,211.651589506848,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,211.38531439617608
2077-01-01,ssp585,14.62249777416026,4.059615411902016,26.864537685053268,9.81397154410746,B_trend_capped_persistence_residual,192.3427128003936,-136.51211800000002,-76.16655499999999,192.3427128003936,192.3427128003936,206.96521057455385,-132.452502588098,-61.54405722583973,206.96521057455385,206.96521057455385,219.20725048544685,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,213.14550030612364
2077-02-01,ssp585,14.016640628197877,3.2788596180181537,26.864537685053268,9.83628256209096,B_trend_capped_persistence_residual,192.51245954919577,-136.51211800000002,-76.16655499999999,192.51245954919577,192.51245954919577,206.52910017739364,-133.23325838198187,-62.14991437180211,206.52910017739364,206.52910017739364,219.37699723424905,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,214.48588871786023
2077-03-01,ssp585,13.093135434404989,3.2788596180181537,19.820440352993543,9.863948843045568,B_trend_capped_persistence_residual,192.6657791932752,-136.51211800000002,-76.16655499999999,192.6657791932752,192.6657791932752,205.75891462768016,-133.23325838198187,-63.073419565595,205.75891462768016,205.75891462768016,212.48621954626876,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,214.6255986298085
2077-04-01,ssp585,10.71034682022931,2.2234473261249845,18.7402346048618,9.920401440450853,B_trend_capped_persistence_residual,192.83552594207737,-136.51211800000002,-76.16655499999999,192.83552594207737,192.83552594207737,203.5458727623067,-134.28867067387503,-65.45620817977068,203.5458727623067,203.5458727623067,211.5757605469392,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,214.11468026658372
2077-05-01,ssp585,10.66289137025347,2.223680005835033,18.7402346048618,9.99150979234258,B_trend_capped_persistence_residual,192.99979698930528,-136.51211800000002,-76.16655499999999,192.99979698930528,192.99979698930528,203.6626883595588,-134.28843799416498,-65.50366362974651,203.6626883595588,203.6626883595588,211.74003159416708,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,213.57347856030347
2077-06-01,ssp585,31.068073632755286,2.467598669993427,71.83488835994115,10.04893993948432,B_trend_capped_persistence_residual,193.16954373810745,-136.51211800000002,-76.16655499999999,193.16954373810745,193.16954373810745,224.23761737086272,-134.04451933000658,-45.0984813672447,224.23761737086272,224.23761737086272,265.0044320980486,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,214.6731173519931
2077-07-01,ssp585,40.2257285295579,4.357151596450722,66.51415373760047,10.141060402605454,B_trend_capped_persistence_residual,193.3338147853354,-136.51211800000002,-76.16655499999999,193.3338147853354,193.3338147853354,233.5595433148933,-132.15496640354928,-35.94082647044209,233.5595433148933,233.5595433148933,259.84796852293584,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,216.76987798076536
2077-08-01,ssp585,52.30854100385439,42.55130728477233,70.7979090725625,10.23690803687773,B_trend_capped_persistence_residual,193.5035615341376,-136.51211800000002,-76.16655499999999,193.5035615341376,193.5035615341376,245.812102537992,-93.9608107152277,-23.8580139961456,245.812102537992,245.812102537992,264.3014706067001,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,218.1775890371728
2077-09-01,ssp585,30.190529834531745,-6.079300389079464,67.98906929483312,10.34318817609048,B_trend_capped_persistence_residual,193.6733082829398,-136.51211800000002,-76.16655499999999,193.6733082829398,193.6733082829398,223.86383811747152,-142.59141838907948,-45.97602516546824,223.86383811747152,223.86383811747152,261.6623775777729,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,216.77356478789144
2077-10-01,ssp585,39.00430516231596,2.467598669993427,67.98906929483312,10.423030023968384,B_trend_capped_persistence_residual,193.8375793301677,-136.51211800000002,-76.16655499999999,193.8375793301677,193.8375793301677,232.84188449248364,-134.04451933000658,-37.16224983768403,232.84188449248364,232.84188449248364,261.8266486250008,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,217.19020991610117
2077-11-01,ssp585,29.088064957065576,10.979102248108028,47.9066552915497,10.50974416271752,B_trend_capped_persistence_residual,194.0073260789699,-136.51211800000002,-76.16655499999999,194.0073260789699,194.0073260789699,223.0953910360355,-125.53301575189198,-47.07849004293441,223.0953910360355,223.0953910360355,241.9139813705196,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,217.7647327729792
