forecast_origin,forecast_horizon_months,n_months,RMSE_KNN_mm,RMSE_persistence_mm,SS_persistence,knn_beats_persistence,NSE_KNN,NSE_persistence
2016-01-01,66,66,48.95353153652274,64.82742394331108,0.2448638468292278,True,-0.09667030558701328,-0.9232049046306243
2017-01-01,66,66,35.21210714694088,88.51959304251032,0.6022111496826387,True,0.2818920099876915,-3.5382095649187173
2018-01-01,66,66,30.821311445868893,44.082138189788,0.30082086052239376,True,0.22527558929446856,-0.5847848676051026
2014-01-01,72,72,41.50334845874906,54.16943347554886,0.23382347209735999,True,0.2566647324095842,-0.2662721413110589
2015-01-01,72,72,46.48521031800109,55.48803018213209,0.1622479629314727,True,0.0748220346375148,-0.3182394238921513
2016-01-01,72,72,47.62667174447498,64.63489682326616,0.2631430684464069,True,-0.11861339921240655,-1.0602203407450022
2017-01-01,72,72,35.0477307124166,87.61358818279898,0.5999738004190375,True,0.22442393764765445,-3.8467154593388093
2018-01-01,72,72,31.80936311452577,42.59292075289743,0.25317722869798953,True,0.2152500730121859,-0.40700675004064113
2014-01-01,78,78,42.965868226544316,52.35777991117733,0.17937948668881643,True,0.14487960357279794,-0.2698210655354909
2015-01-01,78,78,45.02951093913767,54.891553640376145,0.17966412038270907,True,0.0742019500585267,-0.375728858886029
2016-01-01,78,78,46.66939083611667,65.36347098548623,0.28600194982791727,True,-0.1310601044252191,-1.2186644892559366
2017-01-01,78,78,34.76143995651442,87.00810316430501,0.6004804300713078,True,0.1765550539934475,-4.158915962201749
2018-01-01,78,78,32.05997716534736,41.28093491709655,0.22337085558424008,True,0.20280330063554508,-0.3217159273978727
2014-01-01,84,84,44.5992085018236,50.52639405054717,0.11730869895037332,True,0.03163124918932747,-0.2428624672027737
2015-01-01,84,84,44.02084231061506,54.80224349101896,0.19673284328534413,True,0.06642815214502606,-0.44686405158297493
2016-01-01,84,84,45.972230807779596,64.1351920886308,0.28319804914205504,True,-0.18093035530794999,-1.2984016715155686
2017-01-01,84,84,35.07492383599135,84.5155675346446,0.5849886019920123,True,0.15795606977671295,-3.888939924643946
2018-01-01,84,84,31.705009956729093,44.55295804123741,0.28837474882400604,True,0.28201461679192164,-0.4177932445829411
