forecast_origin,forecast_horizon_months,n_months,R,RMSE_mm,NSE,valid_case,analogue_train_rows,n_neighbors,analogue_dates_before_origin,future_leakage_count,target_self_match_count
2017-01-01,24,24,0.8423309009998192,33.63694280814772,0.37090578218250136,True,91,7,True,0,0
2018-01-01,24,24,0.7953995994777079,25.577647899357572,0.5165266965578671,True,103,8,True,0,0
2014-01-01,30,30,0.8539426768176938,17.393414395589026,0.5670430975751001,True,55,4,True,0,0
2015-01-01,30,30,0.8989728405151174,53.36208934747974,0.07418412303685318,True,67,5,True,0,0
2016-01-01,30,30,0.7530042607757151,59.42067799832485,-1.8912466345294354,True,79,6,True,0,0
2017-01-01,30,30,0.8371528123656798,33.293083279710686,0.5853039244188425,True,91,7,True,0,0
2018-01-01,30,30,0.6113894043950507,30.59245471790947,0.32057730400008677,True,103,8,True,0,0
2014-01-01,36,36,0.6546396829111677,41.68257485691389,0.10929302038928934,True,55,4,True,0,0
2015-01-01,36,36,0.8671595530514662,52.16405056465355,-0.044545514162620536,True,67,5,True,0,0
2016-01-01,36,36,0.832194682461033,54.75257742879035,-0.4920010386189908,True,79,6,True,0,0
2017-01-01,36,36,0.8542988394530062,31.253218796690906,0.6340042998334965,True,91,7,True,0,0
2018-01-01,36,36,0.4895816871645274,36.518282185424184,0.10941706548298102,True,103,8,True,0,0
2014-01-01,42,42,0.7233655467576766,46.490890708958595,0.06877257583398722,True,55,4,True,0,0
2015-01-01,42,42,0.8467468123885298,50.97859394626598,-0.15890879541166414,True,67,5,True,0,0
2016-01-01,42,42,0.866172096502717,52.13839679581117,0.02421531439107616,True,79,6,True,0,0
2017-01-01,42,42,0.7997351348947039,33.76180279547751,0.5109188357453596,True,91,7,True,0,0
2018-01-01,42,42,0.5644747756024324,34.327207832788666,0.19015334195473677,True,103,8,True,0,0
2014-01-01,48,48,0.7045892223398943,46.90273898893513,-0.059952603940353955,True,55,4,True,0,0
2015-01-01,48,48,0.8410033160515163,48.10244339142821,0.033382253962334296,True,67,5,True,0,0
2016-01-01,48,48,0.8537262265134953,49.19336127579545,0.16670227381958036,True,79,6,True,0,0
2017-01-01,48,48,0.7384842370568251,37.54863716533122,0.33855828807799004,True,91,7,True,0,0
2018-01-01,48,48,0.6230892684421375,33.10706693115986,0.23533671045677773,True,103,8,True,0,0
2014-01-01,54,54,0.6922242128913697,46.27086248296183,-0.15259375649563434,True,55,4,True,0,0
2015-01-01,54,54,0.8619388554733314,46.17376091349663,0.21312092708951658,True,67,5,True,0,0
2016-01-01,54,54,0.7713679278810062,49.679848493599046,0.05130880694623885,True,79,6,True,0,0
2017-01-01,54,54,0.7431868558164008,35.99206089088728,0.3328247628181371,True,91,7,True,0,0
2018-01-01,54,54,0.6788525943862391,32.75286309477331,0.27067547304526274,True,103,8,True,0,0
2014-01-01,60,60,0.6899498123526777,44.28825771727766,0.016006527062406017,True,55,4,True,0,0
2015-01-01,60,60,0.8655801693384905,44.21112438554234,0.2767599028402924,True,67,5,True,0,0
2016-01-01,60,60,0.7088656660151953,50.90891966050735,-0.08874956283071933,True,79,6,True,0,0
2017-01-01,60,60,0.7490775205835926,35.313332195967284,0.3074018825395691,True,91,7,True,0,0
2018-01-01,60,60,0.6776689402475584,31.44887168776937,0.25971422587660653,True,103,8,True,0,0
2014-01-01,66,66,0.720226393764332,42.9036020795535,0.1932135881962005,True,55,4,True,0,0
2015-01-01,66,66,0.7866318848408147,45.30281802701963,0.17309968665190878,True,67,5,True,0,0
2016-01-01,66,66,0.6779931342166448,48.95353153652274,-0.09667030558701328,True,79,6,True,0,0
2017-01-01,66,66,0.7602870109534955,35.21210714694088,0.2818920099876915,True,91,7,True,0,0
2018-01-01,66,66,0.6767667165866709,30.821311445868893,0.22527558929446856,True,103,8,True,0,0
2014-01-01,72,72,0.7391923665533697,41.50334845874906,0.2566647324095842,True,55,4,True,0,0
2015-01-01,72,72,0.7519990246225344,46.48521031800109,0.0748220346375148,True,67,5,True,0,0
2016-01-01,72,72,0.6706893510400271,47.62667174447498,-0.11861339921240655,True,79,6,True,0,0
2017-01-01,72,72,0.7541933976872741,35.0477307124166,0.22442393764765445,True,91,7,True,0,0
2018-01-01,72,72,0.7079338098709954,31.80936311452577,0.2152500730121859,True,103,8,True,0,0
2014-01-01,78,78,0.6838498836500146,42.965868226544316,0.14487960357279794,True,55,4,True,0,0
2015-01-01,78,78,0.7254765169330565,45.02951093913767,0.0742019500585267,True,67,5,True,0,0
2016-01-01,78,78,0.6744520414271571,46.66939083611667,-0.1310601044252191,True,79,6,True,0,0
2017-01-01,78,78,0.749756438224198,34.76143995651442,0.1765550539934475,True,91,7,True,0,0
2018-01-01,78,78,0.7185922164434986,32.05997716534736,0.20280330063554508,True,103,8,True,0,0
2014-01-01,84,84,0.6475129341918128,44.5992085018236,0.03163124918932747,True,55,4,True,0,0
2015-01-01,84,84,0.721400472106926,44.02084231061506,0.06642815214502606,True,67,5,True,0,0
2016-01-01,84,84,0.6689504909703046,45.972230807779596,-0.18093035530794999,True,79,6,True,0,0
2017-01-01,84,84,0.7642847282997802,35.07492383599135,0.15795606977671295,True,91,7,True,0,0
2018-01-01,84,84,0.7096562478100827,31.705009956729093,0.28201461679192164,True,103,8,True,0,0
