scenario,scenario_label,lat,lon,delta_wb2_median_mm_month,models_matching_median_sign,sign_agreement_fraction,sign_agreement_class
ssp126,SSP1-2.6,37.375,116.875,0.4581757448788988,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.375,117.125,0.5902293686830413,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.375,117.375,0.5902293686831843,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.375,117.625,0.2380693408436673,3,0.5,mixed sign
ssp126,SSP1-2.6,37.375,117.875,0.2380693408435203,3,0.5,mixed sign
ssp126,SSP1-2.6,37.625,113.875,-0.0593799665942027,3,0.5,mixed sign
ssp126,SSP1-2.6,37.625,114.125,-0.0673910215673654,3,0.5,mixed sign
ssp126,SSP1-2.6,37.625,114.375,0.0223318553037152,3,0.5,mixed sign
ssp126,SSP1-2.6,37.625,114.625,-0.104873030595054,3,0.5,mixed sign
ssp126,SSP1-2.6,37.625,114.875,-0.203810166388962,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.625,115.125,-0.2038101663890099,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.625,115.375,-0.0369148745743483,3,0.5,mixed sign
ssp126,SSP1-2.6,37.625,115.625,0.0187168945758093,3,0.5,mixed sign
ssp126,SSP1-2.6,37.625,115.875,-0.0147594014280185,3,0.5,mixed sign
ssp126,SSP1-2.6,37.625,116.125,0.1630917620999348,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.625,116.375,0.1968218941630137,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.625,116.625,0.2977276939624689,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.625,116.875,0.428415419850717,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.625,117.125,0.1587947069511841,3,0.5,mixed sign
ssp126,SSP1-2.6,37.625,117.375,0.1632840395689125,3,0.5,mixed sign
ssp126,SSP1-2.6,37.625,117.625,-0.188875988270559,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.625,117.875,-0.1933653208882075,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.625,118.125,-1.485001379263915,5,0.8333333333333334,robust drying (>=5/6)
ssp126,SSP1-2.6,37.875,113.875,0.0544186952645846,3,0.5,mixed sign
ssp126,SSP1-2.6,37.875,114.125,0.0456650734496841,3,0.5,mixed sign
ssp126,SSP1-2.6,37.875,114.375,0.0194020364962543,3,0.5,mixed sign
ssp126,SSP1-2.6,37.875,114.625,0.0148427607349903,3,0.5,mixed sign
ssp126,SSP1-2.6,37.875,114.875,0.0102590967067879,3,0.5,mixed sign
ssp126,SSP1-2.6,37.875,115.125,0.0094643026481628,3,0.5,mixed sign
ssp126,SSP1-2.6,37.875,115.375,0.1762006370357358,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.875,115.625,0.1731939151284036,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.875,115.875,0.056270428481981,3,0.5,mixed sign
ssp126,SSP1-2.6,37.875,116.125,0.0562704284819197,3,0.5,mixed sign
ssp126,SSP1-2.6,37.875,116.375,0.0900005607994307,3,0.5,mixed sign
ssp126,SSP1-2.6,37.875,116.625,0.1911909472544497,3,0.5,mixed sign
ssp126,SSP1-2.6,37.875,116.875,-0.0334835681367713,3,0.5,mixed sign
ssp126,SSP1-2.6,37.875,117.125,0.0940019443113193,3,0.5,mixed sign
ssp126,SSP1-2.6,37.875,117.375,0.0940019443113433,3,0.5,mixed sign
ssp126,SSP1-2.6,37.875,117.625,-1.6347516322554267,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.875,117.875,-1.8740005952988776,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,37.875,118.125,-4.471153872576197,5,0.8333333333333334,robust drying (>=5/6)
ssp126,SSP1-2.6,38.125,113.875,0.0676594813395272,3,0.5,mixed sign
ssp126,SSP1-2.6,38.125,114.125,0.0687139522746971,3,0.5,mixed sign
ssp126,SSP1-2.6,38.125,114.375,0.0713824908136571,3,0.5,mixed sign
ssp126,SSP1-2.6,38.125,114.625,0.1153512925790183,3,0.5,mixed sign
ssp126,SSP1-2.6,38.125,114.875,0.1205150935872358,3,0.5,mixed sign
ssp126,SSP1-2.6,38.125,115.125,0.1207525801014952,3,0.5,mixed sign
ssp126,SSP1-2.6,38.125,115.375,0.2364779156215064,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,38.125,115.625,0.1581297883666748,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,38.125,115.875,0.041240042986093,3,0.5,mixed sign
ssp126,SSP1-2.6,38.125,116.125,0.0412063017202504,3,0.5,mixed sign
ssp126,SSP1-2.6,38.125,116.375,0.0230613940131458,3,0.5,mixed sign
ssp126,SSP1-2.6,38.125,116.625,-0.0300700513095284,3,0.5,mixed sign
ssp126,SSP1-2.6,38.125,116.875,-0.1063081001643735,3,0.5,mixed sign
ssp126,SSP1-2.6,38.125,117.125,-0.1063081001644046,3,0.5,mixed sign
ssp126,SSP1-2.6,38.125,117.375,-0.1072965176648308,3,0.5,mixed sign
ssp126,SSP1-2.6,38.125,117.625,-1.6044162687603722,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,38.125,117.875,-1.87400059529882,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,38.375,112.875,0.2418005782142351,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,38.375,113.375,0.10365811840144,3,0.5,mixed sign
ssp126,SSP1-2.6,38.375,113.625,0.1036581184014133,3,0.5,mixed sign
ssp126,SSP1-2.6,38.375,113.875,0.0837428663836963,3,0.5,mixed sign
ssp126,SSP1-2.6,38.375,114.125,0.0953797230737798,3,0.5,mixed sign
ssp126,SSP1-2.6,38.375,114.375,0.1302902888185197,3,0.5,mixed sign
ssp126,SSP1-2.6,38.375,114.625,0.1744965770493021,3,0.5,mixed sign
ssp126,SSP1-2.6,38.375,114.875,0.1796603781063934,3,0.5,mixed sign
ssp126,SSP1-2.6,38.375,115.125,0.1796603781063481,3,0.5,mixed sign
ssp126,SSP1-2.6,38.375,115.375,0.2386192184907738,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,38.375,115.625,0.1413486810742528,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,38.375,115.875,0.0244251944277453,3,0.5,mixed sign
ssp126,SSP1-2.6,38.375,116.125,0.0244251944277462,3,0.5,mixed sign
ssp126,SSP1-2.6,38.375,116.375,-0.0504920862621918,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,38.375,116.625,-0.275243900483292,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,38.375,116.875,-0.3524703668386411,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,38.375,117.125,-0.352470366838602,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,38.375,117.375,-0.3524703668385851,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,38.375,117.625,-1.5707531348489208,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,38.625,112.875,0.2418005782142458,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,38.625,113.125,0.1112253707471779,3,0.5,mixed sign
ssp126,SSP1-2.6,38.625,113.375,0.1036581184014124,3,0.5,mixed sign
ssp126,SSP1-2.6,38.625,113.625,0.1036581184013947,3,0.5,mixed sign
ssp126,SSP1-2.6,38.625,113.875,0.083742866383667,3,0.5,mixed sign
ssp126,SSP1-2.6,38.625,114.125,0.09537972316219,3,0.5,mixed sign
ssp126,SSP1-2.6,38.625,114.375,0.1302902888184967,3,0.5,mixed sign
ssp126,SSP1-2.6,38.625,114.625,0.1744965770003874,3,0.5,mixed sign
ssp126,SSP1-2.6,38.625,114.875,0.2088792467383289,3,0.5,mixed sign
ssp126,SSP1-2.6,38.625,115.125,0.2088792467383307,3,0.5,mixed sign
ssp126,SSP1-2.6,38.625,115.375,0.2678380869735939,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,38.625,115.625,0.2874910363526712,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,38.625,115.875,-0.1637163274581778,3,0.5,mixed sign
ssp126,SSP1-2.6,38.625,116.125,-0.16053183225105,3,0.5,mixed sign
ssp126,SSP1-2.6,38.625,116.375,-0.2354491135095289,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,38.625,116.625,-0.4633854223691998,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,38.625,116.875,-0.3524703668385909,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,38.625,117.125,-0.3524703668386015,5,0.8333333333333334,robust drying (>=5/6)
ssp126,SSP1-2.6,38.625,117.375,-0.35247036683861,5,0.8333333333333334,robust drying (>=5/6)
ssp126,SSP1-2.6,38.875,112.625,0.2418005782142467,5,0.8333333333333334,robust wetting (>=5/6)
ssp126,SSP1-2.6,38.875,112.875,0.241800578214189,5,0.8333333333333334,robust wetting (>=5/6)
ssp126,SSP1-2.6,38.875,113.125,0.111225371129473,3,0.5,mixed sign
ssp126,SSP1-2.6,38.875,113.375,0.1036581184014107,3,0.5,mixed sign
ssp126,SSP1-2.6,38.875,113.625,0.1036581184013964,3,0.5,mixed sign
ssp126,SSP1-2.6,38.875,113.875,0.0837428663836874,3,0.5,mixed sign
ssp126,SSP1-2.6,38.875,114.125,0.0953797232505877,3,0.5,mixed sign
ssp126,SSP1-2.6,38.875,114.375,0.1302902888184967,3,0.5,mixed sign
ssp126,SSP1-2.6,38.875,114.625,0.1744965769513662,3,0.5,mixed sign
ssp126,SSP1-2.6,38.875,114.875,0.2088792467383013,3,0.5,mixed sign
ssp126,SSP1-2.6,38.875,115.125,0.2088792467383546,3,0.5,mixed sign
ssp126,SSP1-2.6,38.875,115.375,0.2678380868241978,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,38.875,115.625,0.2874910363527201,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,38.875,115.875,-0.2539713637532834,3,0.5,mixed sign
ssp126,SSP1-2.6,38.875,116.125,-0.2539713637532816,3,0.5,mixed sign
ssp126,SSP1-2.6,38.875,116.375,-0.3288886455813422,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,38.875,116.625,-0.5284941924280728,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,38.875,116.875,-0.35247036683861,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,38.875,117.125,-0.6086974827893439,5,0.8333333333333334,robust drying (>=5/6)
ssp126,SSP1-2.6,38.875,117.375,-0.608697482789335,5,0.8333333333333334,robust drying (>=5/6)
ssp126,SSP1-2.6,39.125,112.625,0.1986447331639533,5,0.8333333333333334,robust wetting (>=5/6)
ssp126,SSP1-2.6,39.125,112.875,0.1977770929794329,5,0.8333333333333334,robust wetting (>=5/6)
ssp126,SSP1-2.6,39.125,113.125,0.0766621008641523,3,0.5,mixed sign
ssp126,SSP1-2.6,39.125,113.375,0.0964795130573037,3,0.5,mixed sign
ssp126,SSP1-2.6,39.125,113.625,0.0960805065722647,3,0.5,mixed sign
ssp126,SSP1-2.6,39.125,113.875,0.0959270453868335,3,0.5,mixed sign
ssp126,SSP1-2.6,39.125,114.125,0.1076559788638462,3,0.5,mixed sign
ssp126,SSP1-2.6,39.125,114.375,0.14290416312702,3,0.5,mixed sign
ssp126,SSP1-2.6,39.125,114.625,0.192178724909473,3,0.5,mixed sign
ssp126,SSP1-2.6,39.125,114.875,0.2295383652656468,3,0.5,mixed sign
ssp126,SSP1-2.6,39.125,115.125,0.2290334533361822,3,0.5,mixed sign
ssp126,SSP1-2.6,39.125,115.375,0.2878913121355362,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.125,115.625,0.3078472064733164,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.125,115.875,-0.2211598927219427,3,0.5,mixed sign
ssp126,SSP1-2.6,39.125,116.125,-0.2208836815100974,3,0.5,mixed sign
ssp126,SSP1-2.6,39.125,116.375,-0.2954242922442751,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.125,116.625,-0.5028273661397822,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.125,116.875,-0.3842243106015794,4,0.6666666666666666,mixed sign
ssp126,SSP1-2.6,39.125,117.125,-0.6086974827893012,5,0.8333333333333334,robust drying (>=5/6)
ssp126,SSP1-2.6,39.125,117.375,-0.6086974827893483,5,0.8333333333333334,robust drying (>=5/6)
