date,year,scenario,risk_index,indicator
2091-12-01,2091,ssp370,6.954196772365798,risk_deficit_cumulative_z
2092-12-01,2092,ssp370,7.5652764564082275,risk_deficit_cumulative_z
2093-12-01,2093,ssp370,8.073752974511855,risk_deficit_cumulative_z
2094-12-01,2094,ssp370,8.694435379504151,risk_deficit_cumulative_z
2095-12-01,2095,ssp370,8.91963210191888,risk_deficit_cumulative_z
2096-12-01,2096,ssp370,9.031238910834391,risk_deficit_cumulative_z
2097-12-01,2097,ssp370,9.088991623569564,risk_deficit_cumulative_z
2098-12-01,2098,ssp370,9.313789333037786,risk_deficit_cumulative_z
2099-12-01,2099,ssp370,9.446059531227757,risk_deficit_cumulative_z
2100-12-01,2100,ssp370,10.039447464377092,risk_deficit_cumulative_z
2026-12-01,2026,ssp585,-1.4649128586372495,risk_deficit_cumulative_z
2027-12-01,2027,ssp585,-1.4649128586372495,risk_deficit_cumulative_z
2028-12-01,2028,ssp585,-1.361208696084365,risk_deficit_cumulative_z
2029-12-01,2029,ssp585,-1.2903517060827303,risk_deficit_cumulative_z
2030-12-01,2030,ssp585,-1.1406853274861963,risk_deficit_cumulative_z
2031-12-01,2031,ssp585,-1.0402229752098515,risk_deficit_cumulative_z
2032-12-01,2032,ssp585,-1.013871668562769,risk_deficit_cumulative_z
2033-12-01,2033,ssp585,-1.0070171191374424,risk_deficit_cumulative_z
2034-12-01,2034,ssp585,-0.8178895097304721,risk_deficit_cumulative_z
2035-12-01,2035,ssp585,-0.0614625349159546,risk_deficit_cumulative_z
2036-12-01,2036,ssp585,0.0413455962057544,risk_deficit_cumulative_z
2037-12-01,2037,ssp585,0.1348984028088249,risk_deficit_cumulative_z
2038-12-01,2038,ssp585,0.1348984028088249,risk_deficit_cumulative_z
2039-12-01,2039,ssp585,0.1488277499551864,risk_deficit_cumulative_z
2040-12-01,2040,ssp585,0.186457318602272,risk_deficit_cumulative_z
2041-12-01,2041,ssp585,0.2064040417600861,risk_deficit_cumulative_z
2042-12-01,2042,ssp585,0.2769399854184898,risk_deficit_cumulative_z
2043-12-01,2043,ssp585,0.348077314755281,risk_deficit_cumulative_z
2044-12-01,2044,ssp585,0.4361498598657463,risk_deficit_cumulative_z
2045-12-01,2045,ssp585,0.4489280673129489,risk_deficit_cumulative_z
2046-12-01,2046,ssp585,0.9440340957232518,risk_deficit_cumulative_z
2047-12-01,2047,ssp585,1.8168367127801404,risk_deficit_cumulative_z
2048-12-01,2048,ssp585,1.890856124963745,risk_deficit_cumulative_z
2049-12-01,2049,ssp585,2.0503062505977323,risk_deficit_cumulative_z
2050-12-01,2050,ssp585,2.107071589060025,risk_deficit_cumulative_z
2051-12-01,2051,ssp585,2.1434920067505967,risk_deficit_cumulative_z
2052-12-01,2052,ssp585,2.189998334785537,risk_deficit_cumulative_z
2053-12-01,2053,ssp585,2.244545810758294,risk_deficit_cumulative_z
2054-12-01,2054,ssp585,2.257693713170773,risk_deficit_cumulative_z
2055-12-01,2055,ssp585,2.580560444304888,risk_deficit_cumulative_z
2056-12-01,2056,ssp585,3.00760786551226,risk_deficit_cumulative_z
2057-12-01,2057,ssp585,3.012111645506924,risk_deficit_cumulative_z
2058-12-01,2058,ssp585,3.015500010717377,risk_deficit_cumulative_z
2059-12-01,2059,ssp585,3.072194782368975,risk_deficit_cumulative_z
